x (mm),Q (W/m2)
1029.92,89973.3
1030.59,89964.3
1031.25,89955.3
1031.91,89946.3
1032.57,89937.3
1033.24,89928.3
1033.9,89919.4
1034.56,89910.4
1035.22,89901.5
1035.89,89892.6
1036.55,89883.7
1037.21,89874.8
1037.87,89865.9
1038.54,89857
1039.2,89848.1
1039.86,89839.2
1040.52,89830.3
1041.19,89821.5
1041.85,89812.6
1042.51,89803.7
1043.18,89794.8
1043.84,89785.9
1044.5,89777.1
1045.16,89768.2
1045.83,89759.3
1046.49,89750.4
1047.15,89741.5
1047.81,89732.7
1048.48,89723.8
1049.14,89714.9
1049.8,89706
1050.46,89697.2
1051.13,89688.3
1051.79,89679.5
1052.45,89670.6
1053.11,89661.8
1053.78,89653
1054.44,89644.2
1055.1,89635.4
1055.76,89626.6
1056.43,89617.8
1057.09,89609
1057.75,89600.3
1058.41,89591.5
1059.08,89582.8
1059.74,89574
1060.4,89565.3
1061.07,89556.6
1061.73,89547.9
1062.39,89539.2
1063.05,89530.5
1063.72,89521.8
1064.38,89513.1
1065.04,89504.4
1065.7,89495.8
1066.37,89487.1
1067.03,89478.4
1067.69,89469.8
1068.35,89461.1
1069.02,89452.5
1069.68,89443.9
1070.34,89435.2
1071,89426.6
1071.67,89418
1072.33,89409.4
