x (mm),Q (W/m2)
710.557,8.88E+04
711.22,8.88E+04
711.882,8.88E+04
712.545,8.88E+04
713.207,8.88E+04
713.87,8.88E+04
714.533,8.88E+04
715.195,8.87E+04
715.858,8.87E+04
716.52,8.87E+04
717.183,8.87E+04
717.845,8.87E+04
718.508,8.87E+04
719.171,8.87E+04
719.833,8.87E+04
720.496,8.86E+04
721.158,8.86E+04
721.821,8.86E+04
722.484,8.86E+04
723.146,8.86E+04
723.809,8.86E+04
724.471,8.86E+04
725.134,8.86E+04
725.797,8.85E+04
726.459,8.85E+04
727.122,8.85E+04
727.784,8.85E+04
728.447,8.85E+04
729.109,8.85E+04
729.772,8.85E+04
730.435,8.85E+04
731.097,8.84E+04
731.76,8.84E+04
732.422,8.84E+04
733.085,8.84E+04
733.748,8.84E+04
734.41,8.84E+04
735.073,8.84E+04
735.735,8.83E+04
736.398,8.83E+04
737.06,8.83E+04
737.723,8.83E+04
738.386,8.83E+04
739.048,8.83E+04
739.711,8.83E+04
740.373,8.83E+04
741.036,8.82E+04
741.699,8.82E+04
742.361,8.82E+04
743.024,8.82E+04
743.686,8.82E+04
744.349,8.82E+04
745.012,8.82E+04
745.674,8.82E+04
746.337,8.82E+04
746.999,8.81E+04
747.662,8.81E+04
748.324,8.81E+04
748.987,8.81E+04
749.65,8.81E+04
750.312,8.81E+04
750.975,8.81E+04
